date,close
9-Sep-16,0.18
10-Sep-16,0.39
11-Sep-16,0.38
12-Sep-16,0.37
13-Sep-16,0.31
14-Sep-16,0.33
15-Sep-16,0.35
16-Sep-16,0.39
17-Sep-16,0.43
18-Sep-16,0.38
19-Sep-16,0.33
20-Sep-16,0.31
21-Sep-16,0.3
22-Sep-16,0.25
23-Sep-16,0.24
24-Sep-16,0.21
25-Sep-16,0.2
26-Sep-16,0.2
27-Sep-16,0.2
28-Sep-16,0.19
29-Sep-16,0.19
30-Sep-16,0.18
1-Oct-16,0.2
2-Oct-16,0.18
3-Oct-16,0.18
4-Oct-16,0.19
5-Oct-16,0.29
6-Oct-16,0.18
7-Oct-16,0.2
8-Oct-16,0.21
9-Oct-16,0.19
10-Oct-16,0.19
11-Oct-16,0.19
12-Oct-16,0.19
13-Oct-16,0.19
14-Oct-16,0.19
15-Oct-16,0.18
16-Oct-16,0.18
17-Oct-16,0.19
18-Oct-16,0.2
19-Oct-16,0.12
20-Oct-16,0.09
21-Oct-16,0.08
22-Oct-16,0.08
23-Oct-16,0.08
24-Oct-16,0.09
25-Oct-16,0.14
26-Oct-16,0.13
27-Oct-16,0.13
28-Oct-16,0.15
29-Oct-16,0.17
30-Oct-16,0.18
31-Oct-16,0.23
1-Nov-16,0.21
2-Nov-16,0.2
3-Nov-16,0.17
4-Nov-16,0.18
5-Nov-16,0.16
6-Nov-16,0.16
7-Nov-16,0.17
8-Nov-16,0.16
9-Nov-16,0.16
10-Nov-16,0.17
11-Nov-16,0.18
12-Nov-16,0.17
13-Nov-16,0.17
14-Nov-16,0.18
15-Nov-16,0.17
16-Nov-16,0.16
17-Nov-16,0.17
18-Nov-16,0.17
19-Nov-16,0.17
20-Nov-16,0.17
21-Nov-16,0.17
22-Nov-16,0.17
23-Nov-16,0.17
24-Nov-16,0.17
25-Nov-16,0.17
26-Nov-16,0.17
27-Nov-16,0.17
28-Nov-16,0.17
29-Nov-16,0.15
30-Nov-16,0.14
1-Dec-16,0.14
2-Dec-16,0.14
3-Dec-16,0.14
4-Dec-16,0.15
5-Dec-16,0.14
6-Dec-16,0.14
7-Dec-16,0.14
8-Dec-16,0.13
9-Dec-16,0.13
10-Dec-16,0.13
11-Dec-16,0.12
12-Dec-16,0.13
13-Dec-16,0.13
14-Dec-16,0.12
15-Dec-16,0.11
16-Dec-16,0.11
17-Dec-16,0.11
18-Dec-16,0.12
19-Dec-16,0.12
20-Dec-16,0.12
21-Dec-16,0.17
22-Dec-16,0.16
23-Dec-16,0.14
24-Dec-16,0.15
25-Dec-16,0.15
26-Dec-16,0.17
27-Dec-16,0.16
28-Dec-16,0.15
29-Dec-16,0.14
30-Dec-16,0.15
31-Dec-16,0.14
1-Jan-17,0.14
2-Jan-17,0.15
3-Jan-17,0.14
4-Jan-17,0.14
5-Jan-17,0.13
6-Jan-17,0.14
